combinacion;num1;num2;num3;num4;num5;num6
102534;1;0;2;5;3;4
102543;1;0;2;5;4;3
103245;1;0;3;2;4;5
103254;1;0;3;2;5;4
103425;1;0;3;4;2;5
103452;1;0;3;4;5;2
103524;1;0;3;5;2;4
103542;1;0;3;5;4;2
104235;1;0;4;2;3;5
104253;1;0;4;2;5;3
104325;1;0;4;3;2;5
104352;1;0;4;3;5;2
104523;1;0;4;5;2;3
104532;1;0;4;5;3;2
105234;1;0;5;2;3;4
105243;1;0;5;2;4;3
105324;1;0;5;3;2;4
105342;1;0;5;3;4;2
105423;1;0;5;4;2;3
105432;1;0;5;4;3;2
120345;1;2;0;3;4;5
120354;1;2;0;3;5;4
120435;1;2;0;4;3;5
120453;1;2;0;4;5;3
120534;1;2;0;5;3;4
120543;1;2;0;5;4;3
123045;1;2;3;0;4;5
123054;1;2;3;0;5;4
123405;1;2;3;4;0;5
123450;1;2;3;4;5;0
123504;1;2;3;5;0;4
123540;1;2;3;5;4;0
124035;1;2;4;0;3;5
124053;1;2;4;0;5;3
124305;1;2;4;3;0;5
124350;1;2;4;3;5;0
124503;1;2;4;5;0;3
124530;1;2;4;5;3;0
125034;1;2;5;0;3;4
125043;1;2;5;0;4;3
125304;1;2;5;3;0;4
125340;1;2;5;3;4;0
125403;1;2;5;4;0;3
125430;1;2;5;4;3;0
130245;1;3;0;2;4;5
130254;1;3;0;2;5;4
130425;1;3;0;4;2;5
130452;1;3;0;4;5;2
130524;1;3;0;5;2;4
130542;1;3;0;5;4;2
132045;1;3;2;0;4;5
132054;1;3;2;0;5;4
132405;1;3;2;4;0;5
132450;1;3;2;4;5;0
132504;1;3;2;5;0;4
132540;1;3;2;5;4;0
134025;1;3;4;0;2;5
134052;1;3;4;0;5;2
134205;1;3;4;2;0;5
134250;1;3;4;2;5;0
134502;1;3;4;5;0;2
134520;1;3;4;5;2;0
135024;1;3;5;0;2;4
135042;1;3;5;0;4;2
135204;1;3;5;2;0;4
135240;1;3;5;2;4;0
135402;1;3;5;4;0;2
135420;1;3;5;4;2;0
140235;1;4;0;2;3;5
140253;1;4;0;2;5;3
140325;1;4;0;3;2;5
140352;1;4;0;3;5;2
140523;1;4;0;5;2;3
140532;1;4;0;5;3;2
142035;1;4;2;0;3;5
142053;1;4;2;0;5;3
142305;1;4;2;3;0;5
142350;1;4;2;3;5;0
142503;1;4;2;5;0;3
142530;1;4;2;5;3;0
143025;1;4;3;0;2;5
143052;1;4;3;0;5;2
143205;1;4;3;2;0;5
143250;1;4;3;2;5;0
143502;1;4;3;5;0;2
143520;1;4;3;5;2;0
145023;1;4;5;0;2;3
145032;1;4;5;0;3;2
145203;1;4;5;2;0;3
145230;1;4;5;2;3;0
145302;1;4;5;3;0;2
145320;1;4;5;3;2;0
150234;1;5;0;2;3;4
150243;1;5;0;2;4;3
150324;1;5;0;3;2;4
150342;1;5;0;3;4;2
150423;1;5;0;4;2;3
150432;1;5;0;4;3;2
152034;1;5;2;0;3;4
152043;1;5;2;0;4;3
152304;1;5;2;3;0;4
152340;1;5;2;3;4;0
152403;1;5;2;4;0;3
152430;1;5;2;4;3;0
153024;1;5;3;0;2;4
153042;1;5;3;0;4;2
153204;1;5;3;2;0;4
153240;1;5;3;2;4;0
153402;1;5;3;4;0;2
153420;1;5;3;4;2;0
154023;1;5;4;0;2;3
154032;1;5;4;0;3;2
154203;1;5;4;2;0;3
154230;1;5;4;2;3;0
154302;1;5;4;3;0;2
154320;1;5;4;3;2;0
201345;2;0;1;3;4;5
201354;2;0;1;3;5;4
201435;2;0;1;4;3;5
201453;2;0;1;4;5;3
201534;2;0;1;5;3;4
201543;2;0;1;5;4;3
203145;2;0;3;1;4;5
203154;2;0;3;1;5;4
203415;2;0;3;4;1;5
203451;2;0;3;4;5;1
203514;2;0;3;5;1;4
203541;2;0;3;5;4;1
204135;2;0;4;1;3;5
204153;2;0;4;1;5;3
204315;2;0;4;3;1;5
204351;2;0;4;3;5;1
204513;2;0;4;5;1;3
204531;2;0;4;5;3;1
205134;2;0;5;1;3;4
205143;2;0;5;1;4;3
205314;2;0;5;3;1;4
205341;2;0;5;3;4;1
205413;2;0;5;4;1;3
205431;2;0;5;4;3;1
210345;2;1;0;3;4;5
210354;2;1;0;3;5;4
210435;2;1;0;4;3;5
210453;2;1;0;4;5;3
210534;2;1;0;5;3;4
210543;2;1;0;5;4;3
213045;2;1;3;0;4;5
213054;2;1;3;0;5;4
213405;2;1;3;4;0;5
213450;2;1;3;4;5;0
213504;2;1;3;5;0;4
213540;2;1;3;5;4;0
214035;2;1;4;0;3;5
214053;2;1;4;0;5;3
214305;2;1;4;3;0;5
214350;2;1;4;3;5;0
214503;2;1;4;5;0;3
214530;2;1;4;5;3;0
215034;2;1;5;0;3;4
215043;2;1;5;0;4;3
215304;2;1;5;3;0;4
215340;2;1;5;3;4;0
215403;2;1;5;4;0;3
215430;2;1;5;4;3;0
230145;2;3;0;1;4;5
230154;2;3;0;1;5;4
230415;2;3;0;4;1;5
230451;2;3;0;4;5;1
230514;2;3;0;5;1;4
230541;2;3;0;5;4;1
231045;2;3;1;0;4;5
231054;2;3;1;0;5;4
231405;2;3;1;4;0;5
231450;2;3;1;4;5;0
231504;2;3;1;5;0;4
231540;2;3;1;5;4;0
234015;2;3;4;0;1;5
234051;2;3;4;0;5;1
234105;2;3;4;1;0;5
234150;2;3;4;1;5;0
234501;2;3;4;5;0;1
234510;2;3;4;5;1;0
235014;2;3;5;0;1;4
235041;2;3;5;0;4;1
235104;2;3;5;1;0;4
235140;2;3;5;1;4;0
235401;2;3;5;4;0;1
235410;2;3;5;4;1;0
240135;2;4;0;1;3;5
240153;2;4;0;1;5;3
240315;2;4;0;3;1;5
240351;2;4;0;3;5;1
240513;2;4;0;5;1;3
240531;2;4;0;5;3;1
241035;2;4;1;0;3;5
241053;2;4;1;0;5;3
241305;2;4;1;3;0;5
241350;2;4;1;3;5;0
241503;2;4;1;5;0;3
241530;2;4;1;5;3;0
243015;2;4;3;0;1;5
243051;2;4;3;0;5;1
243105;2;4;3;1;0;5
243150;2;4;3;1;5;0
243501;2;4;3;5;0;1
243510;2;4;3;5;1;0
245013;2;4;5;0;1;3
245031;2;4;5;0;3;1
245103;2;4;5;1;0;3
245130;2;4;5;1;3;0
245301;2;4;5;3;0;1
245310;2;4;5;3;1;0
250134;2;5;0;1;3;4
250143;2;5;0;1;4;3
250314;2;5;0;3;1;4
250341;2;5;0;3;4;1
250413;2;5;0;4;1;3
250431;2;5;0;4;3;1
251034;2;5;1;0;3;4
251043;2;5;1;0;4;3
251304;2;5;1;3;0;4
251340;2;5;1;3;4;0
251403;2;5;1;4;0;3
251430;2;5;1;4;3;0
253014;2;5;3;0;1;4
253041;2;5;3;0;4;1
253104;2;5;3;1;0;4
253140;2;5;3;1;4;0
253401;2;5;3;4;0;1
253410;2;5;3;4;1;0
254013;2;5;4;0;1;3
254031;2;5;4;0;3;1
254103;2;5;4;1;0;3
254130;2;5;4;1;3;0
254301;2;5;4;3;0;1
254310;2;5;4;3;1;0
301245;3;0;1;2;4;5
301254;3;0;1;2;5;4
301425;3;0;1;4;2;5
301452;3;0;1;4;5;2
301524;3;0;1;5;2;4
301542;3;0;1;5;4;2
302145;3;0;2;1;4;5
302154;3;0;2;1;5;4
302415;3;0;2;4;1;5
302451;3;0;2;4;5;1
302514;3;0;2;5;1;4
302541;3;0;2;5;4;1
304125;3;0;4;1;2;5
304152;3;0;4;1;5;2
304215;3;0;4;2;1;5
304251;3;0;4;2;5;1
304512;3;0;4;5;1;2
304521;3;0;4;5;2;1
305124;3;0;5;1;2;4
305142;3;0;5;1;4;2
305214;3;0;5;2;1;4
305241;3;0;5;2;4;1
305412;3;0;5;4;1;2
305421;3;0;5;4;2;1
310245;3;1;0;2;4;5
310254;3;1;0;2;5;4
310425;3;1;0;4;2;5
310452;3;1;0;4;5;2
310524;3;1;0;5;2;4
310542;3;1;0;5;4;2
312045;3;1;2;0;4;5
312054;3;1;2;0;5;4
312405;3;1;2;4;0;5
312450;3;1;2;4;5;0
312504;3;1;2;5;0;4
312540;3;1;2;5;4;0
314025;3;1;4;0;2;5
314052;3;1;4;0;5;2
314205;3;1;4;2;0;5
314250;3;1;4;2;5;0
314502;3;1;4;5;0;2
314520;3;1;4;5;2;0
315024;3;1;5;0;2;4
315042;3;1;5;0;4;2
315204;3;1;5;2;0;4
315240;3;1;5;2;4;0
315402;3;1;5;4;0;2
315420;3;1;5;4;2;0
320145;3;2;0;1;4;5
320154;3;2;0;1;5;4
320415;3;2;0;4;1;5
320451;3;2;0;4;5;1
320514;3;2;0;5;1;4
320541;3;2;0;5;4;1
321045;3;2;1;0;4;5
321054;3;2;1;0;5;4
321405;3;2;1;4;0;5
321450;3;2;1;4;5;0
321504;3;2;1;5;0;4
321540;3;2;1;5;4;0
324015;3;2;4;0;1;5
324051;3;2;4;0;5;1
324105;3;2;4;1;0;5
324150;3;2;4;1;5;0
324501;3;2;4;5;0;1
324510;3;2;4;5;1;0
325014;3;2;5;0;1;4
325041;3;2;5;0;4;1
325104;3;2;5;1;0;4
325140;3;2;5;1;4;0
325401;3;2;5;4;0;1
325410;3;2;5;4;1;0
340125;3;4;0;1;2;5
340152;3;4;0;1;5;2
340215;3;4;0;2;1;5
340251;3;4;0;2;5;1
340512;3;4;0;5;1;2
340521;3;4;0;5;2;1
341025;3;4;1;0;2;5
341052;3;4;1;0;5;2
341205;3;4;1;2;0;5
341250;3;4;1;2;5;0
341502;3;4;1;5;0;2
341520;3;4;1;5;2;0
342015;3;4;2;0;1;5
342051;3;4;2;0;5;1
342105;3;4;2;1;0;5
342150;3;4;2;1;5;0
342501;3;4;2;5;0;1
342510;3;4;2;5;1;0
345012;3;4;5;0;1;2
345021;3;4;5;0;2;1
345102;3;4;5;1;0;2
345120;3;4;5;1;2;0
345201;3;4;5;2;0;1
345210;3;4;5;2;1;0
350124;3;5;0;1;2;4
350142;3;5;0;1;4;2
350214;3;5;0;2;1;4
350241;3;5;0;2;4;1
350412;3;5;0;4;1;2
350421;3;5;0;4;2;1
351024;3;5;1;0;2;4
351042;3;5;1;0;4;2
351204;3;5;1;2;0;4
351240;3;5;1;2;4;0
351402;3;5;1;4;0;2
351420;3;5;1;4;2;0
352014;3;5;2;0;1;4
352041;3;5;2;0;4;1
352104;3;5;2;1;0;4
352140;3;5;2;1;4;0
352401;3;5;2;4;0;1
352410;3;5;2;4;1;0
354012;3;5;4;0;1;2
354021;3;5;4;0;2;1
354102;3;5;4;1;0;2
354120;3;5;4;1;2;0
354201;3;5;4;2;0;1
354210;3;5;4;2;1;0
401235;4;0;1;2;3;5
401253;4;0;1;2;5;3
401325;4;0;1;3;2;5
401352;4;0;1;3;5;2
401523;4;0;1;5;2;3
401532;4;0;1;5;3;2
402135;4;0;2;1;3;5
402153;4;0;2;1;5;3
402315;4;0;2;3;1;5
402351;4;0;2;3;5;1
402513;4;0;2;5;1;3
402531;4;0;2;5;3;1
403125;4;0;3;1;2;5
403152;4;0;3;1;5;2
403215;4;0;3;2;1;5
403251;4;0;3;2;5;1
403512;4;0;3;5;1;2
403521;4;0;3;5;2;1
405123;4;0;5;1;2;3
405132;4;0;5;1;3;2
405213;4;0;5;2;1;3
405231;4;0;5;2;3;1
405312;4;0;5;3;1;2
405321;4;0;5;3;2;1
410235;4;1;0;2;3;5
410253;4;1;0;2;5;3
410325;4;1;0;3;2;5
410352;4;1;0;3;5;2
410523;4;1;0;5;2;3
410532;4;1;0;5;3;2
412035;4;1;2;0;3;5
412053;4;1;2;0;5;3
412305;4;1;2;3;0;5
412350;4;1;2;3;5;0
412503;4;1;2;5;0;3
412530;4;1;2;5;3;0
413025;4;1;3;0;2;5
413052;4;1;3;0;5;2
413205;4;1;3;2;0;5
413250;4;1;3;2;5;0
413502;4;1;3;5;0;2
413520;4;1;3;5;2;0
415023;4;1;5;0;2;3
415032;4;1;5;0;3;2
415203;4;1;5;2;0;3
415230;4;1;5;2;3;0
415302;4;1;5;3;0;2
415320;4;1;5;3;2;0
420135;4;2;0;1;3;5
420153;4;2;0;1;5;3
420315;4;2;0;3;1;5
420351;4;2;0;3;5;1
420513;4;2;0;5;1;3
420531;4;2;0;5;3;1
421035;4;2;1;0;3;5
421053;4;2;1;0;5;3
421305;4;2;1;3;0;5
421350;4;2;1;3;5;0
421503;4;2;1;5;0;3
421530;4;2;1;5;3;0
423015;4;2;3;0;1;5
423051;4;2;3;0;5;1
423105;4;2;3;1;0;5
423150;4;2;3;1;5;0
423501;4;2;3;5;0;1
423510;4;2;3;5;1;0
425013;4;2;5;0;1;3
425031;4;2;5;0;3;1
425103;4;2;5;1;0;3
425130;4;2;5;1;3;0
425301;4;2;5;3;0;1
425310;4;2;5;3;1;0
430125;4;3;0;1;2;5
430152;4;3;0;1;5;2
430215;4;3;0;2;1;5
430251;4;3;0;2;5;1
430512;4;3;0;5;1;2
430521;4;3;0;5;2;1
431025;4;3;1;0;2;5
431052;4;3;1;0;5;2
431205;4;3;1;2;0;5
431250;4;3;1;2;5;0
431502;4;3;1;5;0;2
431520;4;3;1;5;2;0
432015;4;3;2;0;1;5
432051;4;3;2;0;5;1
432105;4;3;2;1;0;5
432150;4;3;2;1;5;0
432501;4;3;2;5;0;1
432510;4;3;2;5;1;0
435012;4;3;5;0;1;2
435021;4;3;5;0;2;1
435102;4;3;5;1;0;2
435120;4;3;5;1;2;0
435201;4;3;5;2;0;1
435210;4;3;5;2;1;0
450123;4;5;0;1;2;3
450132;4;5;0;1;3;2
450213;4;5;0;2;1;3
450231;4;5;0;2;3;1
450312;4;5;0;3;1;2
450321;4;5;0;3;2;1
451023;4;5;1;0;2;3
451032;4;5;1;0;3;2
451203;4;5;1;2;0;3
451230;4;5;1;2;3;0
451302;4;5;1;3;0;2
451320;4;5;1;3;2;0
452013;4;5;2;0;1;3
452031;4;5;2;0;3;1
452103;4;5;2;1;0;3
452130;4;5;2;1;3;0
452301;4;5;2;3;0;1
452310;4;5;2;3;1;0
453012;4;5;3;0;1;2
453021;4;5;3;0;2;1
453102;4;5;3;1;0;2
453120;4;5;3;1;2;0
453201;4;5;3;2;0;1
453210;4;5;3;2;1;0
501234;5;0;1;2;3;4
501243;5;0;1;2;4;3
501324;5;0;1;3;2;4
501342;5;0;1;3;4;2
501423;5;0;1;4;2;3
501432;5;0;1;4;3;2
502134;5;0;2;1;3;4
502143;5;0;2;1;4;3
502314;5;0;2;3;1;4
502341;5;0;2;3;4;1
502413;5;0;2;4;1;3
502431;5;0;2;4;3;1
503124;5;0;3;1;2;4
503142;5;0;3;1;4;2
503214;5;0;3;2;1;4
503241;5;0;3;2;4;1
503412;5;0;3;4;1;2
503421;5;0;3;4;2;1
504123;5;0;4;1;2;3
504132;5;0;4;1;3;2
504213;5;0;4;2;1;3
504231;5;0;4;2;3;1
504312;5;0;4;3;1;2
504321;5;0;4;3;2;1
510234;5;1;0;2;3;4
510243;5;1;0;2;4;3
510324;5;1;0;3;2;4
510342;5;1;0;3;4;2
510423;5;1;0;4;2;3
510432;5;1;0;4;3;2
512034;5;1;2;0;3;4
512043;5;1;2;0;4;3
512304;5;1;2;3;0;4
512340;5;1;2;3;4;0
512403;5;1;2;4;0;3
512430;5;1;2;4;3;0
513024;5;1;3;0;2;4
513042;5;1;3;0;4;2
513204;5;1;3;2;0;4
513240;5;1;3;2;4;0
513402;5;1;3;4;0;2
513420;5;1;3;4;2;0
514023;5;1;4;0;2;3
514032;5;1;4;0;3;2
514203;5;1;4;2;0;3
514230;5;1;4;2;3;0
514302;5;1;4;3;0;2
514320;5;1;4;3;2;0
520134;5;2;0;1;3;4
520143;5;2;0;1;4;3
520314;5;2;0;3;1;4
520341;5;2;0;3;4;1
520413;5;2;0;4;1;3
520431;5;2;0;4;3;1
521034;5;2;1;0;3;4
521043;5;2;1;0;4;3
521304;5;2;1;3;0;4
521340;5;2;1;3;4;0
521403;5;2;1;4;0;3
521430;5;2;1;4;3;0
523014;5;2;3;0;1;4
523041;5;2;3;0;4;1
523104;5;2;3;1;0;4
523140;5;2;3;1;4;0
523401;5;2;3;4;0;1
523410;5;2;3;4;1;0
524013;5;2;4;0;1;3
524031;5;2;4;0;3;1
524103;5;2;4;1;0;3
524130;5;2;4;1;3;0
524301;5;2;4;3;0;1
524310;5;2;4;3;1;0
530124;5;3;0;1;2;4
530142;5;3;0;1;4;2
530214;5;3;0;2;1;4
530241;5;3;0;2;4;1
530412;5;3;0;4;1;2
530421;5;3;0;4;2;1
531024;5;3;1;0;2;4
531042;5;3;1;0;4;2
531204;5;3;1;2;0;4
531240;5;3;1;2;4;0
531402;5;3;1;4;0;2
531420;5;3;1;4;2;0
532014;5;3;2;0;1;4
532041;5;3;2;0;4;1
532104;5;3;2;1;0;4
532140;5;3;2;1;4;0
532401;5;3;2;4;0;1
532410;5;3;2;4;1;0
534012;5;3;4;0;1;2
534021;5;3;4;0;2;1
534102;5;3;4;1;0;2
534120;5;3;4;1;2;0
534201;5;3;4;2;0;1
534210;5;3;4;2;1;0
540123;5;4;0;1;2;3
540132;5;4;0;1;3;2
540213;5;4;0;2;1;3
540231;5;4;0;2;3;1
540312;5;4;0;3;1;2
540321;5;4;0;3;2;1
541023;5;4;1;0;2;3
541032;5;4;1;0;3;2
541203;5;4;1;2;0;3
541230;5;4;1;2;3;0
541302;5;4;1;3;0;2
541320;5;4;1;3;2;0
542013;5;4;2;0;1;3
542031;5;4;2;0;3;1
542103;5;4;2;1;0;3
542130;5;4;2;1;3;0
542301;5;4;2;3;0;1
542310;5;4;2;3;1;0
543012;5;4;3;0;1;2
543021;5;4;3;0;2;1
543102;5;4;3;1;0;2
543120;5;4;3;1;2;0
543201;5;4;3;2;0;1
543210;5;4;3;2;1;0
012346;0;1;2;3;4;6
012364;0;1;2;3;6;4
012436;0;1;2;4;3;6
012463;0;1;2;4;6;3
012634;0;1;2;6;3;4
012643;0;1;2;6;4;3
013246;0;1;3;2;4;6
013264;0;1;3;2;6;4
013426;0;1;3;4;2;6
013462;0;1;3;4;6;2
013624;0;1;3;6;2;4
013642;0;1;3;6;4;2
014236;0;1;4;2;3;6
014263;0;1;4;2;6;3
014326;0;1;4;3;2;6
014362;0;1;4;3;6;2
014623;0;1;4;6;2;3
014632;0;1;4;6;3;2
016234;0;1;6;2;3;4
016243;0;1;6;2;4;3
016324;0;1;6;3;2;4
016342;0;1;6;3;4;2
016423;0;1;6;4;2;3
016432;0;1;6;4;3;2
021346;0;2;1;3;4;6
021364;0;2;1;3;6;4
021436;0;2;1;4;3;6
021463;0;2;1;4;6;3
021634;0;2;1;6;3;4
021643;0;2;1;6;4;3
023146;0;2;3;1;4;6
023164;0;2;3;1;6;4
023416;0;2;3;4;1;6
023461;0;2;3;4;6;1
023614;0;2;3;6;1;4
023641;0;2;3;6;4;1
024136;0;2;4;1;3;6
024163;0;2;4;1;6;3
024316;0;2;4;3;1;6
024361;0;2;4;3;6;1
024613;0;2;4;6;1;3
024631;0;2;4;6;3;1
026134;0;2;6;1;3;4
026143;0;2;6;1;4;3
026314;0;2;6;3;1;4
026341;0;2;6;3;4;1
026413;0;2;6;4;1;3
026431;0;2;6;4;3;1
031246;0;3;1;2;4;6
031264;0;3;1;2;6;4
031426;0;3;1;4;2;6
031462;0;3;1;4;6;2
031624;0;3;1;6;2;4
031642;0;3;1;6;4;2
032146;0;3;2;1;4;6
032164;0;3;2;1;6;4
032416;0;3;2;4;1;6
032461;0;3;2;4;6;1
032614;0;3;2;6;1;4
032641;0;3;2;6;4;1
034126;0;3;4;1;2;6
034162;0;3;4;1;6;2
034216;0;3;4;2;1;6
034261;0;3;4;2;6;1
034612;0;3;4;6;1;2
034621;0;3;4;6;2;1
036124;0;3;6;1;2;4
036142;0;3;6;1;4;2
036214;0;3;6;2;1;4
036241;0;3;6;2;4;1
036412;0;3;6;4;1;2
036421;0;3;6;4;2;1
041236;0;4;1;2;3;6
041263;0;4;1;2;6;3
041326;0;4;1;3;2;6
041362;0;4;1;3;6;2
041623;0;4;1;6;2;3
041632;0;4;1;6;3;2
042136;0;4;2;1;3;6
042163;0;4;2;1;6;3
042316;0;4;2;3;1;6
042361;0;4;2;3;6;1
042613;0;4;2;6;1;3
042631;0;4;2;6;3;1
043126;0;4;3;1;2;6
043162;0;4;3;1;6;2
043216;0;4;3;2;1;6
043261;0;4;3;2;6;1
043612;0;4;3;6;1;2
043621;0;4;3;6;2;1
046123;0;4;6;1;2;3
046132;0;4;6;1;3;2
046213;0;4;6;2;1;3
046231;0;4;6;2;3;1
046312;0;4;6;3;1;2
046321;0;4;6;3;2;1
061234;0;6;1;2;3;4
061243;0;6;1;2;4;3
061324;0;6;1;3;2;4
061342;0;6;1;3;4;2
061423;0;6;1;4;2;3
061432;0;6;1;4;3;2
062134;0;6;2;1;3;4
062143;0;6;2;1;4;3
062314;0;6;2;3;1;4
062341;0;6;2;3;4;1
062413;0;6;2;4;1;3
062431;0;6;2;4;3;1
063124;0;6;3;1;2;4
063142;0;6;3;1;4;2
063214;0;6;3;2;1;4
063241;0;6;3;2;4;1
063412;0;6;3;4;1;2
063421;0;6;3;4;2;1
064123;0;6;4;1;2;3
064132;0;6;4;1;3;2
064213;0;6;4;2;1;3
064231;0;6;4;2;3;1
064312;0;6;4;3;1;2
064321;0;6;4;3;2;1
102346;1;0;2;3;4;6
102364;1;0;2;3;6;4
102436;1;0;2;4;3;6
102463;1;0;2;4;6;3
102634;1;0;2;6;3;4
102643;1;0;2;6;4;3
103246;1;0;3;2;4;6
103264;1;0;3;2;6;4
103426;1;0;3;4;2;6
103462;1;0;3;4;6;2
103624;1;0;3;6;2;4
103642;1;0;3;6;4;2
104236;1;0;4;2;3;6
104263;1;0;4;2;6;3
104326;1;0;4;3;2;6
104362;1;0;4;3;6;2
104623;1;0;4;6;2;3
104632;1;0;4;6;3;2
106234;1;0;6;2;3;4
106243;1;0;6;2;4;3
106324;1;0;6;3;2;4
106342;1;0;6;3;4;2
106423;1;0;6;4;2;3
106432;1;0;6;4;3;2
120346;1;2;0;3;4;6
120364;1;2;0;3;6;4
120436;1;2;0;4;3;6
120463;1;2;0;4;6;3
120634;1;2;0;6;3;4
120643;1;2;0;6;4;3
123046;1;2;3;0;4;6
123064;1;2;3;0;6;4
123406;1;2;3;4;0;6
123460;1;2;3;4;6;0
123604;1;2;3;6;0;4
123640;1;2;3;6;4;0
124036;1;2;4;0;3;6
124063;1;2;4;0;6;3
124306;1;2;4;3;0;6
124360;1;2;4;3;6;0
124603;1;2;4;6;0;3
124630;1;2;4;6;3;0
126034;1;2;6;0;3;4
126043;1;2;6;0;4;3
126304;1;2;6;3;0;4
126340;1;2;6;3;4;0
126403;1;2;6;4;0;3
126430;1;2;6;4;3;0
130246;1;3;0;2;4;6
130264;1;3;0;2;6;4
130426;1;3;0;4;2;6
130462;1;3;0;4;6;2
130624;1;3;0;6;2;4
130642;1;3;0;6;4;2
132046;1;3;2;0;4;6
132064;1;3;2;0;6;4
132406;1;3;2;4;0;6
132460;1;3;2;4;6;0
132604;1;3;2;6;0;4
132640;1;3;2;6;4;0
134026;1;3;4;0;2;6
134062;1;3;4;0;6;2
134206;1;3;4;2;0;6
134260;1;3;4;2;6;0
134602;1;3;4;6;0;2
134620;1;3;4;6;2;0
136024;1;3;6;0;2;4
136042;1;3;6;0;4;2
136204;1;3;6;2;0;4
136240;1;3;6;2;4;0
136402;1;3;6;4;0;2
136420;1;3;6;4;2;0
140236;1;4;0;2;3;6
140263;1;4;0;2;6;3
140326;1;4;0;3;2;6
140362;1;4;0;3;6;2
140623;1;4;0;6;2;3
140632;1;4;0;6;3;2
142036;1;4;2;0;3;6
142063;1;4;2;0;6;3
142306;1;4;2;3;0;6
142360;1;4;2;3;6;0
142603;1;4;2;6;0;3
142630;1;4;2;6;3;0
143026;1;4;3;0;2;6
143062;1;4;3;0;6;2
143206;1;4;3;2;0;6
143260;1;4;3;2;6;0
143602;1;4;3;6;0;2
143620;1;4;3;6;2;0
